Year	X-ray	NMR	EM	others
1976	13				13
1977	23				23
1978	6				6
1979	11				11
1980	7			9	16
1981	16				16
1982	32				32
1983	36				36
1984	22			1	22
1985	20			1	20
1986	17	1		1	18
1987	25				25
1988	52			1	53
1989	71	2		2	74
1990	135	7			142
1991	162	23	1	1	187
1992	181	11			192
1993	622	74			696
1994	1057	222		10	1289
1995	748	190		3	941
1996	980	188	1	4	1172
1997	1234	329	1	1	1565
1998	1722	331	2	1	2056
1999	1960	390	2	5	2356
2000	2234	371	14	9	2627
2001	2377	414	13	9	2813
2002	2525	441	25	3	2994
2003	3586	531	29	3	4147
2004	4394	729	15	13	5149
2005	4426	874	24	10	5334
2006	5508	861	29	11	6407
2007	6141	965	20	11	7134
2008	6198	653	43	11	6903
2009	6664	568	44	20	7290
2010	7164	520	57	16	7745
2011	7346	524	54	18	7929
2012	8153	537	67	7	8761
2013	8711	506	122	15	9340
2014	8822	550	193	12	9566
2015	8602	433	219	18	9257
2016	9947	454	414	18	10817
2017	10082	415	565	14	11068
2018	9884	399	887	27	11172
2019	9664	385	1453	20	11503
2020	11246	389	2391	19	14025
2021	8394	324	2540	18	11260
