Count	X-ray	NMR	EM	others
1	48255	8032	1783	198
2	15114	1689	1074	74
3	7304	375	543	40
4	3953	187	312	23
5	2055	54	179	11
6	1214	41	120	4
7	745	15	71	5
8	471	12	44	5
9	294	5	30	
10	225	3	17	2
11	154	2	8	1
12	110	2	9	
13	80	1	5	1
14	63		3	
15	60	2	5	
16	34		1	
17	28	1	1	
18	26	2	2	
19	14		1	
20	11		4	
21	11			
22	7		1	
23	13		3	
24	5		1	
25	5		2	
26	4			
27	6		2	
28	4			
29	2			
30	6			
31	2			
32	2			
33	3			
34	3			
35	4		1	
36	3			
37	4			
38	1			
39	1			
40				
41	3			
42	1			
43				
44	1			
45	1			
46	2			
47	1			
48				
49	1			
50	31		1	
