	obj
admin	obj
admin.author	multi
admin.current_status	obj
admin.grant_support	obj
admin.grant_support.grant_reference	multi
admin.grant_support.grant_reference.[]	obj
admin.key_dates	obj
admin.obsolete_list	obj
admin.obsolete_list.entry	obj
admin.sites	obj
crossreferences	obj
crossreferences.auxiliary_link_list	obj
crossreferences.auxiliary_link_list.auxiliary_link	obj
crossreferences.emdb_reference	multi
crossreferences.emdb_reference.[]	obj
crossreferences.emdb_reference.[].relationship	obj
crossreferences.pdb_reference	multi
crossreferences.pdb_reference.[]	obj
crossreferences.pdb_reference.[].relationship	obj
crossreferences.primary_citation	obj
crossreferences.primary_citation.journal_citation	obj
crossreferences.primary_citation.journal_citation.author	multi
crossreferences.secondary_citation	multi
crossreferences.secondary_citation.[]	obj
crossreferences.secondary_citation.[].journal_citation	obj
crossreferences.secondary_citation.[].journal_citation.author	multi
crossreferences.secondary_citation.[].journal_citation.external_references	obj
crossreferences.secondary_citation.[].non_journal_citation	obj
crossreferences.secondary_citation.[].non_journal_citation.author	single
crossreferences.secondary_citation.[].non_journal_citation.external_references	obj
interpretation	obj
interpretation.additional_map_list	obj
interpretation.additional_map_list.additional_map	multi
interpretation.additional_map_list.additional_map.[]	obj
interpretation.additional_map_list.additional_map.[].axis_order	obj
interpretation.additional_map_list.additional_map.[].cell	obj
interpretation.additional_map_list.additional_map.[].contour	single
interpretation.additional_map_list.additional_map.[].contour.[]	obj
interpretation.additional_map_list.additional_map.[].dimensions	obj
interpretation.additional_map_list.additional_map.[].origin	obj
interpretation.additional_map_list.additional_map.[].pixel_spacing	obj
interpretation.additional_map_list.additional_map.[].spacing	obj
interpretation.additional_map_list.additional_map.[].statistics	obj
interpretation.additional_map_list.additional_map.[].symmetry	obj
interpretation.figure_list	obj
interpretation.figure_list.figure	multi
interpretation.figure_list.figure.[]	obj
interpretation.half_map_list	obj
interpretation.half_map_list.half_map	multi
interpretation.half_map_list.half_map.[]	obj
interpretation.half_map_list.half_map.[].axis_order	obj
interpretation.half_map_list.half_map.[].cell	obj
interpretation.half_map_list.half_map.[].contour	single
interpretation.half_map_list.half_map.[].contour.[]	obj
interpretation.half_map_list.half_map.[].dimensions	obj
interpretation.half_map_list.half_map.[].origin	obj
interpretation.half_map_list.half_map.[].pixel_spacing	obj
interpretation.half_map_list.half_map.[].spacing	obj
interpretation.half_map_list.half_map.[].statistics	obj
interpretation.half_map_list.half_map.[].symmetry	obj
interpretation.modelling	multi
interpretation.modelling.[]	obj
interpretation.modelling.[].initial_model	multi
interpretation.modelling.[].initial_model.[]	obj
interpretation.modelling.[].initial_model.[].chain	multi
interpretation.modelling.[].initial_model.[].chain.[]	obj
interpretation.modelling.[].initial_model.[].chain.[].chain_id	multi
interpretation.modelling.[].software	single
interpretation.modelling.[].software.[]	obj
interpretation.segmentation_list	obj
interpretation.segmentation_list.segmentation	multi
